"cid","site","rugosity"
620,"NorthHam",0.245438137792066
539,"NorthHam",0.342871316938784
396,"NorthHam",0.186254637395758
84,"NorthHam",0.069932025733575
81,"NorthHam",0.0858887029860809
126,"NorthHam",0.118754243679992
523,"NorthHam",0.30117333546896
330,"NorthHam",0.239231450685136
529,"NorthHam",0.306468472459697
595,"NorthHam",0.119560722292072
628,"NorthHam",0.376215075259807
450,"NorthHam",0.112124930507683
617,"NorthHam",0.297693044062453
44,"NorthHam",0.0581670261233701
457,"NorthHam",0.0604323697060906
512,"NorthHam",0.346183367408731
600,"NorthHam",0.283182753192102
182,"NorthHam",0.0956363123928214
192,"NorthHam",0.0605673590671243
60,"NorthHam",0.085907591559183
269,"NorthHam",0.0481204334421938
555,"NorthHam",0.427683936854704
105,"NorthHam",0.0653538799770186
611,"NorthHam",0.267865183603411
258,"NorthHam",0.0664085734118683
309,"NorthHam",0.0440801721219033
444,"NorthHam",0.304635061902386
67,"NorthHam",0.140577120590514
383,"NorthHam",0.0817952891837792
149,"NorthHam",0.0634999604583407
134,"NorthHam",0.0786981194735371
212,"NorthHam",0.108706129340234
301,"NorthHam",0.0550568814018287
107,"NorthHam",0.0772747797964374
197,"NorthHam",0.074721668097976
597,"NorthHam",0.364504192137531
314,"NorthHam",0.118619376784491
603,"NorthHam",0.441261458916298
552,"NorthHam",0.350391527086238
338,"NorthHam",0.100402789526321
243,"NorthHam",0.0556326539927174
614,"NorthHam",0.364236271667869
210,"NorthHam",0.0638377664811723
455,"NorthHam",0.204995434666536
606,"NorthHam",0.405664969667335
179,"NorthHam",0.12955900957423
281,"NorthHam",0.0555722008742283
543,"NorthHam",0.339283920345975
284,"NorthHam",0.0736616314415005
152,"NorthHam",0.0752584841639264
327,"NorthHam",0.0658624261022672
87,"NorthHam",0.0881954001462697
272,"NorthHam",0.035568281069246
2,"NorthHam",0.0573755919383898
467,"NorthHam",0.275759404001742
471,"NorthHam",0.355011766869649
405,"NorthHam",0.302698199090874
